FP2,"Todo pelo necesita
 protección "
FP3,Limpio tu pelo cuando ha sido sometido a procesos químicos
FP5,"recarga de energia 
fortalecer y revitalizar
 tu hebra capilar"
FP8,infusión llena de proteína para tu pelo
FP10,"Soy una infusión llena
 de proteína para tu pelo"
FP11,"hidratar, nutrir y reparar"
FP14,"Limpio, suavizo y no
 me olvido de ayuda
r a estimular el crecimiento
 y controlar la caída"
FP15,"Nutro, hidrato,
 así que ayudo con el frizz,
 pero no me olvido de estimular el
 crecimiento y controlar la caída"
FP16,"Nutro, hidrato, así que ayudo con el frizz"
FP17,nutrir tu pelo y controlar el frizz
FP19,Suavizo y desenredo tu pelo
FP23,Suavizo y desenredo tu pelo crespo
FP24,"hidratarlos, nutrirlos darles mucho brillo y tengo un efecto memorizador para
 ayudarte a recuperar los crespos
 después de los procesos químicos"
FP40,"IDEAL PARA CABELLOS CON PROBLEMAS
 DE CAÍDA Y CRECIMIENTO LENTO, 
DÉBILES Y QUE NECESITAN FORTALECER"
FP42,"IDEAL PARA CABELLOS DE FRIBA SECA, MALTRATADOS, CON DECOLORACIÓN, DAÑO EXTREMO, PIEL CABELLUDA SENSIBLE  O PROBLEMAS DE CASPA POR RESEQUEDAD"
FP43,"IDEAL PARA CABELLOS QUEBRADIZOS, RESECOS, CON
 ABUSO DE PLACHA Y PINZAS, QUE NECESITAN REPARACIÓN E HIDRATACIÓN."
FP45,"IDEAL PARA CABELLOS CON PUNTAS SECAS, ABIERTAS Y QUEBRAZIDAS,
 CABELLOS CON DECOLORACIÓN, EXTREMADAMENTE SECOS, ALISADOS Y 
QUE DESEAN CONSERVAR SU LONGUITUD."
FP47,"IDEAL PARA CABELLOS ONDULADOS Y RIZADOS,
 QUE NECESITAN MOLDEAMIENTO, CONTROL, FIJACIÓN E HIDRATACIÓN"
FP48,"IDEAL PARA CABELLOS MALTRATADOS,
 DÉBILES, QUEBRADIZOS, SIN VIDA, PROCESADOS QUÍMICAMENTE
 Y QUE NECESITEN UN SHOT DE REPARACIÓN URGENTE."
FP49,"crespos definidos, sin frizz y brillantes porque
 tengo aceite de linaza y manteca de karité"
FP50,"tengo aceite de coco, manteca de karité y Aloe vera"
FP52,"desenredar, así dejare tu pelo suave, hidratado y
 con brillo"
FP53,"sé que eres de hebra muy delgada así que te trato
 suave y con amor"
FP54,"nutrición, en pocas palabras soy el Shampoo
 ideal para todo tipo de pelo y cuero cabelludo seco."
FP55,úsame si eres de cuero cabelludo graso
FP56,"hidrato, suavizo, nutro, protejo y ayudo a definir"
