M1,P2,PMG7,U6,TC1,,FP2,,31000
M1,P3,PMG6,U8,TC6,,FP5,,23000
M1,P5,PMG2,U5,TC9,TC6,FP8,,22000
M1,P8,PMG2,U5,TC8,TC4,FP14,,43000
M1,P10,PMG2,U5,TC5,,FP23,,46000
M2,P18,PMG12,U5,TC1,,FP40,,39500
M2,P20,PMG11,U5,TC8,TC6,FP42,,39000
M2,P21,PMG11,U7,TC1,,FP43,,36500
M2,P23,PMG11,U7,TC1,,FP45,,41000
M2,P25,PMG11,U2,TC3,TC4,FP47,,35400
M2,P26,PMG11,U7,TC6,TC8,FP48,,44500
M3,P27,PMG1,U1,TC5,,FP49,,107900
M3,P33,PMG14,U2,TC5,TC4,FP50,,105000
M3,P28,PMG14,U4,TC1,,FP53,,105000
M3,P30,PMG1,U5,TC1,,FP54,,61500
M3,P31,PMG1,U5,TC1,,FP55,,261500
M3,P32,PMG1,U3,TC1,,FP56,,61500
M1,P9,PMG2,U3,TC5,TC8,FP19,,39000
